"","x"
"1",0.00690494462269853
"2",0.0648853822277493
"3",0.0182280383693675
"4",0.0287001262574146
"5",0.0120904406066984
"6",0.00444732093751038
"7",0.0683980873348653
"8",0.0179115987275463
"9",0.00267647969950404
"10",0.0660134916066965
"11",0.0930113384685231
"12",0.0799351929536806
"13",0.0716610673481233
"14",2.51095172845655e-05
"15",0.0428172646998234
"16",0.116686847157398
"17",0.0124074275760601
"18",0.0911758844402885
"19",0.00523031298391243
"20",0.00342650244579834
"21",0.0663267890381985
"22",0.197683012112537
"23",0.0507486257161372
"24",0.0313671482726932
"25",0.0120352102288355
"26",0.00721320085641411
"27",0.0149805471164382
"28",0.133808001582311
"29",0.00968399460220503
"30",0.0368780351450874
"31",0.0101574220591121
"32",0.0273093992792484
"33",0.091430208537613
"34",0.0292264790429423
"35",0.0444910287730237
"36",0.0501524307272621
"37",0.0591251256127993
"38",0.0193873642840319
"39",0.0297230216415806
"40",0.0624897609338005
"41",0.0274593109627151
"42",0.0470872855587832
"43",0.142777152662925
"44",0.0334679682014717
"45",0.00693262978974316
"46",0.0187247152078069
"47",0.166892769840627
"48",0.192015653259823
"49",0.0330183485574606
"50",0.0769417253299561
"51",0.00840860062754296
"52",0.0492191524221506
"53",0.00415642691465716
"54",0.0631079728588303
"55",0.0533430943386148
"56",0.0481148752257069
"57",0.0453263622398374
"58",0.160378329446517
"59",0.0576142572464056
"60",0.00976766115571889
"61",0.0348520167430656
"62",0.0245995469546566
"63",0.0305719907240321
"64",0.00489426734628489
"65",0.0119930186247129
"66",0.0693859570222437
"67",0.0386873330483675
"68",0.0211924464027915
"69",0.0213940833022611
"70",0.00534030820978507
"71",0.120037818630985
"72",0.0209928056897802
"73",0.00653481762856245
"74",0.0927749608286235
"75",0.321359876963668
"76",0.0548921860731151
"77",0.0780131908914791
"78",0.113277301394577
"79",0.0062822921080856
"80",0.0325016818371498
"81",0.0921409583293412
"82",0.0710550106634658
"83",0.0791159977882783
"84",0.0185959446243942
"85",0.0234968372258461
"86",0.0160694918336554
"87",0.0274166466357807
"88",0.0665672587000503
"89",0.00789626025491291
"90",0.0230505917117827
"91",0.0409859145896101
"92",0.0425761748342812
"93",0.0709337245960044
"94",0.105666423927881
"95",0.0321029181488686
"96",0.00626874528825283
"97",0.0526314592482984
"98",0.00847761030711759
"99",0.202200114261835
"100",0.179118985921743
"101",0.135658664932303
"102",0.000827446681335491
"103",0.0937137606817497
"104",0.0423304384240515
"105",0.0178704577912059
"106",0.141023823467015
"107",0.0355768309543944
"108",0.00334338805062758
"109",0.00839172861888168
"110",0.00490507826523521
"111",0.0539010569636862
"112",0.0377887613657448
"113",0.0219551519645999
"114",0.206027729851354
"115",0.125907103848669
"116",0.281371037646022
"117",0.0312680022880238
"118",0.00860023277856522
"119",0.0200958629604563
"120",0.0939230081682086
"121",0.00642955794723497
"122",0.0179780328956743
"123",0.0339373173968246
"124",0.171548311899704
"125",0.0677529675862697
"126",0.0463362348035647
"127",0.10316396148241
"128",0.028501910373336
"129",0.0339710925860951
"130",0.0580615349504524
"131",0.0116888697185873
"132",0.199148918490364
"133",0.0837316171529903
"134",0.0431717100219435
"135",0.0997407059655931
"136",0.0735301478846047
"137",0.00643210232139546
"138",0.116164303635049
"139",0.016618908305342
"140",0.0531715193263908
"141",0.121849192816799
"142",0.0301208092520634
"143",0.0840320427751886
"144",0.0100085998160972
"145",0.0614899611594618
"146",0.00758499916022023
"147",0.0144611023521672
"148",0.0544548090006583
"149",0.110403816624947
"150",0.0681747633733524
"151",0.0665539696582331
"152",0.019021671032533
"153",0.0186472778063681
"154",0.0748044420527756
"155",0.0125021572845678
"156",0.0560752330324557
"157",0.0225216639902725
"158",0.0383729952801433
"159",0.0726160336159011
"160",0.0928651494858676
"161",0.0378390931679557
"162",0.00615263565890122
"163",0.0374067892682635
"164",0.0384101975295279
"165",0.0417875405214872
"166",0.0327999925551315
"167",0.0316113517102268
"168",0.0208670617236445
"169",0.00995277073459571
"170",0.182170378512148
"171",0.0282258318685409
"172",0.151977874849027
"173",0.062389336886241
"174",0.0186143413237813
"175",0.0490894144300668
"176",0.0309299988510948
"177",0.00749348649858601
"178",0.00355394849450224
"179",0.0147739383266088
"180",0.0429259810320641
"181",0.0350625861384388
"182",0.0268742870280726
"183",0.14251930572589
"184",0.0176122401220103
"185",0.00872608824900219
"186",0.345349370586745
"187",0.27879336733393
"188",0.116815925269134
"189",0.0722256268661724
"190",0.369846541723963
"191",0.00580089406755981
"192",0.001223041727725
"193",0.041906313192249
"194",0.056099876859839
"195",0.0123722428559429
"196",0.0396076131899165
"197",0.144524578101554
"198",0.0852528336699664
"199",0.0399612270065321
"200",0.00979422992612753
"201",0.05279327007812
"202",0.0686597979811172
"203",0.0785962655679729
"204",0.0484519011007256
"205",0.0843283466755141
"206",0.0339491919924815
"207",0.0722707351128929
"208",0.0939961116093411
"209",0.200565846340492
"210",0.0308517109499209
"211",0.0492643049584336
"212",0.0715422089084824
"213",0.013790033524856
"214",0.0265750997803277
"215",0.074339178698908
"216",0.0185458284233593
"217",0.174348444821345
"218",0.0231216859538108
"219",0.118877273891033
"220",0.0915171545072361
"221",0.0136368275982224
"222",0.0734597454858992
"223",0.243446659075787
"224",0.00270942848093129
"225",0.00266338206096123
"226",0.0537364624624292
"227",0.219279286199053
"228",0.0428316540371882
"229",0.0743297641142216
"230",0.000330215216510826
"231",0.0259817655826468
"232",0.164325493068102
"233",0.0111217836125029
"234",0.0076372306017826
"235",0.0417015981423199
"236",0.0265818424264176
"237",0.0488136055752476
"238",0.0755435824888289
"239",0.000755213563226991
"240",0.0182109711129972
"241",0.0351731160448657
"242",0.313688555506738
"243",0.0548306264787753
"244",0.10107154108945
"245",0.00118284408623974
"246",0.104945457535785
"247",0.0341383597503106
"248",0.0204497600077755
"249",0.130742452025585
"250",0.0477726121616701
"251",0.054460135751864
"252",0.042476680191231
"253",0.060910457446878
"254",0.0234559849422011
"255",0.0445657311608455
"256",0.0252977018402935
"257",0.0410310194493837
"258",0.0332871599692023
"259",0.191077832123243
"260",0.0899943079610695
"261",0.0167549009590099
"262",0.0230391224484063
"263",0.0749787787573046
"264",0.0603481718419168
"265",0.0381443473613924
"266",0.0382428273765577
"267",0.0849518721048713
"268",0.0146120596484855
"269",0.0959577719737768
"270",0.120953640065708
"271",0.349457064312057
"272",0.0538569240186619
"273",0.191927473154932
"274",0.0365085932426155
"275",0.0934858340723329
"276",0.0113255545523077
"277",0.0132459962177667
"278",0.0132981853528517
"279",0.00133850915457051
"280",0.00142828989038828
"281",0.0151346979611036
"282",0.147972720461208
"283",0.00191388456513739
"284",0.0323797764722258
"285",0.0906121784567515
"286",0.0753865679702666
"287",0.0936079557607769
"288",0.0121467892570777
"289",0.00348581691893438
"290",0.0142072141429202
"291",0.00463446780728797
"292",0.00317049745677246
"293",0.127172211695498
"294",0.0154152523147206
"295",0.0119444899460822
"296",0.0762029455744399
"297",0.0614722735328648
"298",0.0444830444411112
"299",0.0147948874363337
"300",0.0280075522346629
"301",0.0576079213554502
"302",0.0150959394007531
"303",0.0023527089247687
"304",0.0669383919659538
"305",0.0508492379943371
"306",0.0256654048700713
"307",0.107034976888592
"308",0.00712186150679603
"309",0.00108466755288343
"310",0.0825764646500031
"311",0.0776341595743776
"312",0.0113927244505062
"313",0.00581153190012788
"314",0.0161393714758257
"315",0.0875442100435178
"316",0.0349634129088372
"317",0.0422887911710753
"318",0.0779424011660629
"319",0.0561566641013497
"320",0.000864997273311019
"321",0.00560560975120299
"322",0.07794981877201
"323",0.000939025882960168
"324",0.139638085842582
"325",0.11311835743434
"326",0.0720525735758914
"327",0.0246004921435896
"328",0.062722817526659
"329",0.161522799870565
"330",0.0991344983548371
"331",0.0237293217796832
"332",0.0012434294470767
"333",0.0731280292360988
"334",0.371255807454079
"335",0.14826048299384
"336",0.086158248694706
"337",0.120508427517731
"338",0.019509191818717
"339",0.015660566393544
"340",0.0383505695240779
"341",0.0900006556008935
"342",0.0618061455874648
"343",0.0394126363560258
"344",0.0118897378237711
"345",0.319733352544224
"346",0.045887317228116
"347",0.00623363719528748
"348",0.0386720764841312
"349",0.122013586980222
"350",0.0411981009440959
"351",0.0712461101074855
"352",0.154086524758251
"353",0.00628730590190305
"354",0.00586345150238938
"355",0.040413355470662
"356",0.000976187435703145
"357",0.0224685600907024
"358",0.00105579880376657
"359",0.0728463300273491
"360",0.00669459470858177
"361",0.0681996043334246
"362",0.0803208883725241
"363",0.000522335547619661
"364",0.0747413215100606
"365",0.0375114738837712
"366",0.0233959010802209
"367",0.0186683458216408
"368",0.125282982758192
"369",0.0101374419819978
"370",0.02755637647998
"371",0.00112373363744054
"372",0.0365127784251753
"373",0.0375445293935223
"374",0.0926633632027892
"375",0.0260105354763153
"376",0.00702206146282454
"377",0.0934425349197136
"378",0.0172232312874662
"379",0.0405088447321461
"380",0.0182263909623266
"381",0.0838286550137605
"382",0.0281271012499928
"383",0.0769374625630518
"384",0.00655761613787326
"385",0.00304154155650421
"386",0.0686659660270486
"387",0.0180760132562783
"388",0.0407733163474795
"389",0.0652432081576692
"390",0.00197518722499357
"391",0.0316945624072105
"392",0.00590366983993186
"393",0.191604245858659
"394",0.0132531236200102
"395",0.014315157611337
"396",0.147550661700883
"397",0.169469818463527
"398",0.142443477052534
"399",0.0483694693257252
"400",0.0101590394843249
"401",0.0297488756995234
"402",0.0850586122269114
"403",0.00118151484773534
"404",0.0773606380884263
"405",0.0744145572058698
"406",0.0498260132841607
"407",0.100423891506561
"408",0.0373334442006631
